%DM GS	%DM MS	DMI	Diet 	Mass	Water	NH4-N	CP-exam	Ash	NDF (incl.lignin)	U-NDF	VFA	Li	voluri	volfec
				kg/d	kg/d	kg/d	kg/d	kg/d	kg/d	kg/d	kg/d	kg/d	kg/d	kg/d
90	0	14	1	58.7498785	54.07	0.000358	2.8180625	0.805	0.842	0.683	0.0661	0.148	33.55	20.52
90	0	16	2	66.845147	61.53	0.000311	3.171125	0.92	0.976	0.781	0.0814	0.166	37.81	23.72
90	0	18	3	75.115747	69.15	0.000261	3.521125	1.035	1.128	0.878	0.0971	0.184	42.06	27.09
75	15	14	4	54.347868	50	0.000159	2.43525	0.749	0.942	0.742	0.0773	0.144	28.53	21.47
75	15	16	5	61.976093	57.02	0.000134	2.730125	0.856	1.115	0.848	0.0927	0.162	32.06	24.96
75	15	18	6	69.857077	64.27	0.000126	3.021125	0.963	1.316	0.954	0.1077	0.179	35.58	28.69
75	15	20	7	77.9728935	71.73	0.000128	3.3084375	1.07	1.545	1.06	0.1222	0.197	39.07	32.66
60	30	14	8	49.852271	45.8	0.000073	2.054125	0.686	1.086	0.802	0.086	0.14	23.47	22.33
60	30	16	9	57.0334125	52.39	0.000075	2.2920625	0.784	1.31	0.917	0.1002	0.157	26.27	26.12
60	30	18	10	64.4913995	59.23	0.000081	2.5264375	0.882	1.565	1.031	0.1138	0.174	29.06	30.17
60	30	20	11	72.160382	66.26	0.000091	2.757	0.98	1.845	1.146	0.1272	0.191	31.82	34.44
45	45	14	12	46.44205	42.6	0.00005	1.69925	0.623	1.292	0.862	0.0921	0.1356	18.81	23.79
45	45	16	13	53.322385	48.88	0.000055	1.885875	0.712	1.587	0.986	0.1054	0.152	20.95	27.93
45	45	18	14	60.514951	55.45	0.000063	2.074125	0.801	1.903	1.108	0.118	0.1687	23.1	32.35
45	45	20	15	67.888344	62.19	0.000072	2.263	0.89	2.229	1.232	0.1312	0.185	25.26	36.93
30	60	14	16	44.028	40.28	0.00004	1.3875	0.567	1.566	0.9212	0.09612	0.1313	14.21	26.07
30	60	16	17	50.786667	46.38	0.000046	1.536375	0.648	1.966	1.053	0.1091	0.1471	15.74	30.64
30	60	18	18	57.7355665	52.7	0.000052	1.6840625	0.729	2.338	1.184	0.1217	0.1627	17.24	35.46
30	60	20	19	64.8625327	59.19	0.0000601	1.8248125	0.81	2.725	1.316	0.1344	0.1782	18.73	40.46
15	75	14	20	43.1732805	39.3	0.000034	1.1108125	0.504	2.032	0.981	0.0998	0.1266	10.06	29.24
15	75	16	21	49.884103	45.36	0.000039	1.224625	0.576	2.47	1.121	0.1121	0.1413	11.02	34.34
15	75	18	22	56.80684	51.63	0.000045	1.33675	0.648	2.912	1.262	0.124	0.156	11.97	39.66
15	75	20	23	63.8466915	58.01	0.000052	1.4476875	0.72	3.362	1.402	0.1365	0.1704	12.91	45.1
30	60	14	24	45.256182	41.42	0.000041	1.394	0.546	1.669	0.989	0.0966	0.1305	14.24	27.18
30	60	16	25	52.1642815	47.71	0.000047	1.5466875	0.624	2.029	1.131	0.1087	0.1458	15.78	31.93
30	60	18	26	59.1414951	54.07	0.0000538	1.6951875	0.702	2.392	1.273	0.1209	0.1613	17.3	36.77
30	60	20	27	66.2923496	60.594	0.0000623	1.841425	0.78	2.767	1.414	0.1333	0.1765	18.808	41.786
90	0	14	28	67.389392	62.38	0.000291	2.1172	0.707	1.984	1.789	0.07061	0.13	32.41	29.97
90	0	16	29	76.71309025	71.02	0.000267	2.36925625	0.808	2.285	2.045	0.0848	0.1455	36.51	34.51
90	0	18	30	86.179413	79.79	0.000244	2.617625	0.909	2.602	2.3	0.099	0.1613	40.59	39.2
90	0	20	31	95.811646	88.71	0.000223	2.863	1.01	2.938	2.556	0.1132	0.177	44.65	44.06
90	0	14	32	52.74723725	48.86	0.000053	1.82573125	0.805	1.0266	0.6944	0.0838	0.146	26.18	22.68
90	0	16	33	60.4640731	56	0.0000553	2.0345625	0.92	1.248	0.794	0.0979	0.1635	29.4	26.6
90	0	18	34	68.491569	63.42	0.0000595	2.24175	1.035	1.502	0.893	0.1113	0.1814	32.61	30.81
90	0	20	35	76.76238	71.06	0.000065	2.44675	1.15	1.782	0.992	0.1244	0.1991	35.8	35.26
90	0	14	36	61.4753665	57.03	0.0000645	1.3616875	0.707	2.163	1.833	0.08705	0.1265	25.5	31.53
90	0	16	37	70.318865	65.23	0.00007	1.502625	0.808	2.536	2.094	0.1005	0.1416	28.61	36.62
90	0	18	38	79.4173689	73.66	0.0000782	1.6408125	0.909	2.937	2.356	0.1137	0.1567	31.7	41.96
90	0	20	39	88.7102637	82.267	0.0000881	1.7757875	1.01	3.359	2.618	0.1267	0.1716	34.771	47.496
