			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
Fodermiddel	Productname	Plantname	Foderkode	Tørstof, procent	Procent af tørstof	Råaske	Råprotein	Fordøjeligt råprotein	AAT	PBV	Råfedt	Fordøjeligt råfedt	Fedtsyrer	Jodtal	Kulhydrat	Træstof	Sukker	Stivelse	Fordøjelige cellevægge	NDF	Fordøjelighedskoefficient	Råprotein	Protein nedbrg. (% af N)	Oprindeligt protein i tarm	Unedbrudt protein i tarm	Råfedt	Kulhydrat	Organisk stof	Mineraler, pr. kg tørstof	Calcium, g	Fosfor, g	Magnesium, g	Kalium, g	Natrium, g	Klor, g	Svovl, g	CAB, meq	Jern, mg	Mangan, mg	Zink, mg	Kobber, mg	Cobolt, mg	Selen, mg	Vitaminer, pr. kg tørstof	A-vitamin, 1000 i.e.	Beta-cartoen, mg	D-vitamin, 1000 i.e.	E-vitamin, mg	Struktur/fylde, pr. kg tørstof	Tyggetid, minutter	FFk, fylde køer	FFu, fylde ungdyr	Energi	Ford. energi, MJ pr. kg tørstof	FE pr. kg tørstof	Indhold pr. FE	Kg tørstof	Kg foder	Ford. råprotein, g	AAT, g	PBV, g	Fedtsyrer, g	Sukker, g	Stivelse, g	Ford. cellevægge, g	FFk, fylde køer	FFu, fylde ungdyr	Tyggetid, minutter	PigFE	Pig Ford råprotein	Lysin	Methionin	Treonin	FeedCat
A-5       105-0-40 	test	test2	2	88	  	7.2	18.4	14.112	11.76145	0.016399	5.6	4.376	4.5024	80	68.8	14	7.5	18	35.82	  	  	76.69565	59.6	94.8	87.12871	78.14285	89.1279	86	  	7.5	6	3	13	3.5	  	3.9	  	360	90	70	17	  	  	  	  	  	  	  	  	4	0.22	1.05	  	15.5216	1.117506976	  	0.894849	1.016874	126.281	105.2472	0.146746	40.28968	67.11367	161.0728	320.5349	0.196866	0.939591	3.579396						1
A-5        98-30-40 			3	89	  	7.8	20.5	16.065	10.81132	3.349535	5.6	4.376	4.5024	80	66.1	15	8	18	31.929	  	  	78.36585	66.8	94.5	83.43373	78.14285	87.63842	85	  	8	6.5	4	13	3.4	  	3.9	  	360	90	70	17	  	  	  	  	  	  	  	  	4	0.22	1.05	  	15.4083	1.102832515	  	0.906756	1.018827	145.6703	98.03229	30.3721	40.82578	72.54048	163.216	289.5181	0.199486	0.952093	3.627024						1
A-6       100-45-55 			4	89	  	8	22.4	17.832	11.07031	4.988971	6.7	5.432	5.6012	80	62.9	14	8	17	28.096	  	  	79.60714	64.6	93.8	82.48587	81.07462	84.41335	83	  	7	6	3	13	3.5	  	3.9	  	360	90	70	17	  	  	  	  	  	  	  	  	4	0.22	1.05	  	15.36073	1.101596985	  	0.907773	1.01997	161.874	100.4932	45.28853	50.84618	72.62184	154.3214	255.0479	0.19971	0.953161	3.631092						1
A-11       95-50-85 			5	89	  	7.5	24.3	19.599	11.86957	6.278385	12.4	10.904	10.602	80	55.8	13	7	14	27.122	  	  	80.65432	61.2	94.7	86.3402	87.93548	86.24014	85	  	7.5	6.5	3.5	13	4	  	3.9	  	360	90	70	17	  	  	  	  	  	  	  	  	4	0.22	1.05	  	16.79532	1.246948095	  	0.801958	0.901076	157.1757	95.18896	50.35001	85.02358	56.13706	112.2741	217.507	0.17643	0.842055	3.207832						1
A-8       100-65-65 			7	89	  	8	26	21.18	11.84887	7.709285	8.9	7.544	7.6985	80	57.1	12	7.5	14	27.056	  	  	81.46153	63	94	83.78378	84.76404	85.03677	84	  	7	6	3	13	3.4	  	3.9	  	360	90	70	17	  	  	  	  	  	  	  	  	4	0.22	1.05	  	16.10729	1.182372715	  	0.845757	0.950289	179.1313	100.2126	65.20181	65.1106	63.43177	118.4059	228.828	0.186066	0.888044	3.383028						1
B-7         108-100-55 			11	89	  	8.5	31	25.83	12.69756	11.5086	7.9	6.584	6.399	80	52.6	11	8	13	22.531	  	  	83.32258	62.2	93.2	82.01058	83.34177	82.75855	83	  	8.5	8.5	3.5	13	3.5	  	4.8	  	490	75	85	17	  	  	  	  	  	  	  	  	4	0.22	1.05	  	16.03747	1.178936646	  	0.848222	0.953058	219.0957	107.7034	97.61847	54.27772	67.85776	110.2688	191.1128	0.186608	0.890633	3.392888						1
C-13        100-120-90 			15	90	  	8.2	35.8	30.294	13.56418	16.25573	14.44444	12.86666	12.20555	64	41.55555	10	9	5	20.86933	  	  	84.62011	62.8	95.2	87.09677	89.07692	83.91015	85	  	9	9	4	15	4	  	4.8	  	490	75	85	17	  	  	  	  	  	  	  	  	4	0.22	1.05	  	17.76434	1.353194622	  	0.738992	0.821102	223.8702	100.2382	120.1285	90.19803	66.50928	36.9496	154.2226	0.162578	0.775941	2.955968						1
C-8         105-145-60 			19	90	  	8.6	36.5	30.945	12.77794	17.57946	8.9	7.544	7.298	70	46	11.5	8.5	6	21.959	  	  	84.78082	66	94.7	84.41176	84.76404	79.25869	82	  	8.5	8.5	4	16	4	  	4.8	  	490	75	85	17	  	  	  	  	  	  	  	  	4	0.22	1.05	  	16.38125	1.211202167	  	0.825626	0.917362	255.4899	105.4979	145.1405	60.25418	70.17821	49.53756	181.2992	0.181637	0.866907	3.302504						1
C-11        100-135-80 			20	90	  	8.6	35.9	30.387	12.89662	17.33291	12.2	10.712	10.2968	85	43.3	11.5	7.8	5.7	21.72	  	  	84.64345	65.8	95.8	87.71929	87.80327	81.33949	83.5	  	8.5	8.5	4	16	4	  	4.8	  	490	75	85	17	  	  	  	  	  	  	  	  	4	0.22	1.05	  	17.11246	1.283519101	  	0.779108	0.865676	236.7475	100.4785	135.042	80.22319	60.77042	44.40915	169.2222	0.171403	0.818063	3.116432						1
C-6         120-135-50 			31	90	  	9	36.5	30.945	14.05336	15.80089	6.7	5.432	5.896	84	47.8	12	8	3	27.243	  	  	84.78082	62	94.2	84.73684	81.07462	80.00627	82	  	8.5	8.5	4	16	4	  	4.8	  	490	75	85	17	  	  	  	  	  	  	  	  	4	0.22	1.05	  	15.96935	1.16873084	  	0.855629	0.950699	264.7743	120.2446	135.1969	50.44788	68.45032	25.66887	233.099	0.188238	0.89841	3.422516						1
Kalve-    blanding      15 			60	87	  	7	17.2	12.996	10.20075	0.865285	5.7	4.472	4.7994	80	70.1	9.2	8	34.5	18.152	  	  	75.55814	68	94	81.25	78.45614	86.52211	84	  	9.8	4.8	1.7	9.8	4.8	  	2.2	  	250	70	90	35	  	0.23	  	  	  	  	  	  	4	0.25	1.05	  	15.1683	1.09922241	  	0.909734	1.045672	118.229	92.79969	7.871791	43.66177	72.77872	313.8582	165.1349	0.227433	0.95522	3.638936						1
Kalve-    blanding      19 			61	87	  	8	21.8	17.274	11.70598	3.620928	5.2	3.992	3.9988	80	65	6.9	8	35.6	14.254	  	  	79.23853	64	94	83.33333	76.76923	89.00615	86	  	11.5	6	2.5	10	2.3	  	2.4	  	250	70	90	35	  	0.23	  	  	  	  	  	  	4	0.22	1.05	  	15.55735	1.145680099	  	0.872844	1.003269	150.775	102.1749	31.60505	34.90328	69.82752	310.7324	124.4151	0.192025	0.916486	3.491376						1
Kalve-    blanding      32 			62	89	  	18	36	30.48	13.67225	16.10714	9	7.64	7.497	80	37	9	9.6	6	15.16	  	  	84.66666	60	94	85	84.88888	83.13513	84	  	43.8	10.1	4	20	5.6	  	4	  	350	100	150	50	  	0.9	  	  	  	  	  	  	4	0.22	1.05	  	15.31538	1.114461927	  	0.897294	1.008196	273.4952	122.6802	144.5284	67.27013	86.14022	53.83764	136.0297	0.197404	0.942158	3.589176						1
Bomulds-  frøkager,  afskallet 			101	92	  	7.3	51.5	44.895	21.6819	20.94553	3.5	2.36	2.8	110	37.7	10.4	5.4	1.5	20.005	  	  	87.17475	50	93	86	67.42857	71.36604	80	  	2.2	11.9	6.4	18	0.2	  	  	  	291	24	71	16	0.35	0.29	  	  	  	  	  	  	4	0.22	1.05	  	16.3409	1.211027618	  	0.825745	0.897549	370.7182	179.0372	172.9566	23.12086	44.59023	12.38617	165.1902	0.181663	0.867032	3.30298						1
Bomulds-  frøkager,  delvist    afskallet 			102	92	  	6.9	42.4	36.432	18.20094	16.65589	3.5	2.36	2.8	110	47.2	18.4	5.4	1.5	18.547	  	  	85.92452	50	93	86	67.42857	53.91313	69	  	2.2	11.9	6.4	18	0.2	  	  	  	291	24	71	16	0.35	0.29	  	  	  	  	  	  	4	0.22	1.05	  	14.03749	0.955460264	  	1.046616	1.137626	381.3031	190.4939	174.3232	29.30524	56.51726	15.69924	194.1158	0.230255	1.098946	4.186464						1
Bomulds-  frøkager,  uafskallet 			103	92	  	5.3	27.9	22.947	13.02826	9.192321	6.6	5.336	5.28	110	60.2	28.7	5.4	1.5	19.743	47	  	82.24731	50	93	86	80.848	44.25747	58	  	2.2	11.9	6.4	18	0.2	  	  	  	291	24	71	16	0.35	0.29	  	  	  	  	  	  	4	0.22	1.05	  	11.99133	0.71735394	  	1.394012	1.51523	319.8839	181.6155	128.142	73.60383	75.27664	20.91018	275.2197	0.306682	1.463712	5.576048						1
Bomulds-  frøskrå,   delvist    afskallet 			105	89	  	6.6	45.1	38.943	19.11639	18.12589	1.8	0.728	1.26	110	46.5	17.3	5.4	1.5	17.875	  	  	86.34811	50	93	86	40.444	53.27956	69	  	2.1	12.6	6.9	19	0.2	  	  	  	248	23	77	14	0.35	0.3	  	  	  	  	  	  	4	0.22	1.05	  	13.97305	0.952904596	  	1.049423	1.179127	408.6767	200.6117	190.2172	13.22272	56.66884	15.74134	187.5843	0.230873	1.101894	4.197692						1
Hørfrø-kage 			111	90	  	8.9	35.3	29.829	13.94945	14.37696	8.1	6.776	6.48	190	47.7	11.1	5.4	2.6	30.097	24	  	84.50141	60	93	82.5	83.65432	79.86792	82	  	3.7	8.6	5.2	11	0.8	  	  	  	240	46	88	22	0.35	0.09	  	  	  	  	  	  	4	0.22	1.05	  	16.13213	1.187951793	  	0.841785	0.935317	251.096	117.4243	121.023	54.54766	45.45639	21.88641	253.352	0.185192	0.883874	3.36714						1
Hørfrø-skrå 			114	88	  	6.8	39.5	33.735	15.43908	16.37339	1.8	0.728	1.26	190	51.9	9.8	5.4	2.6	33.029	  	  	85.40506	60	93	82.5	40.444	79.05394	81	  	3.9	8.8	5.2	11	0.8	  	  	  	250	53	89	22	0.35	0.09	  	  	  	  	  	  	4	0.22	1.05	  	15.52273	1.132192536	  	0.883242	1.003684	297.9616	136.3644	144.6166	11.12884	47.69506	22.96429	291.726	0.194313	0.927404	3.532968						1
Jordnød-  skrå,       delvist    afskallet 			125	89	  	6.3	51	44.43	11.3654	32.48134	1.2	0.152	0.84	90	41.5	10.4	8.5	5	15.94849	18	  	87.11764	74	93	73.07692	12.667	70.96023	79.008	  	1.5	7.5	3.5	13	0.9	  	  	  	360	45	44	19	0.25	0.25	  	  	  	  	  	  	4	0.22	1.05	  	15.91494	1.16890024	  	0.855505	0.961241	380.1008	97.23156	277.8794	7.186242	72.71792	42.77525	136.4401	0.188211	0.89828	3.42202						1
Kokos-kage 			131	89	  	6.9	23.6	18.948	14.07228	2.17425	8.4	7.064	6.72	10	61.1	11.7	15	5	31.261	53.5	  	80.28813	48	91	82.6923	84.095	83.89689	83	  	1.4	6.3	3.3	23	1	  	  	  	365	88	55	30	0.25	0.15	  	  	  	  	  	  	4	0.22	1.05	  	15.87053	1.159997262	  	0.862071	0.968619	163.3452	121.313	18.74357	57.93117	129.3106	43.10355	269.492	0.189655	0.905174	3.448284						1
Kokos-skrå 			134	89	  	7.3	23.7	19.041	14.51948	1.532071	2	0.92	1.4	10	67	15.3	15	5	35.126	50.4	  	80.34177	48	91	82.6923	46	82.27761	81	  	1.1	6.5	3.5	23	0.8	  	  	  	350	116	53	30	0.25	0.15	  	  	  	  	  	  	4	0.22	1.05	  	14.46563	1.008560663	  	0.991512	1.114059	188.7937	143.9623	15.19066	13.88116	148.7268	49.5756	348.2785	0.218132	1.041087	3.966048						1
Kokos-  kage,  fedtrig 			139	93	  	6.9	21.9	17.367	13.17723	1.81825	13.7	12.152	10.96	10	57.5	12.9	15	5	28.685	49.6	  	79.30137	48	91	82.6923	88.70073	84.66956	84	  	0.9	6	3.4	23	0.8	  	  	  	356	109	57	25	0.25	0.11	  	  	  	  	  	  	4	0.22	1.05	  	16.77752	1.245534758	  	0.802868	0.863299	139.434	105.7957	14.59814	87.99433	120.4302	40.1434	230.3026	0.17663	0.843011	3.211472						1
Palme- kage 			136	92	  	4.2	16.2	12.066	10.66282	-1.281	10.9	9.464	8.72	20	68.7	21.8	3	0	37.74	62	  	74.48148	37	83	73.01587	86.82568	59.30131	65	  	2.1	6.5	3.1	8	0.1	  	  	  	935	255	46	24	0.15	0.18	  	  	  	  	  	  	4	0.22	1.05	  	13.20119	0.860952696	  	1.161504	1.262505	140.147	123.849	-14.8788	101.2831	34.84512	0	438.3516	0.25553	1.219579	4.646016						1
Rapsskrå, 00,          4% fedt 			142	87.5	  	7.7714	38.85714	33.13714	12.35001	18.93346	4.571428	3.388571	3.2	115	48.80002	14.85714	9.7	6.4	19.31259	33.14285	  	85.27941	65	91	74.28571	74.125	72.56674	78	  	8.91428	12	4.8	14.2	0.056	0.7	6.8	-79.1121	434.2857	74.28571	77.71428	6.285714	0.25	0.08	  	  	  	  	5	  	4	0.22	1.05	  	15.31387	1.093987771	  	0.914087	1.04467	302.9022	112.8898	173.0682	29.25078	88.66643	58.50156	176.5338	0.201099	0.959791	3.656348						1
Rapskage, 00,         10% fedt 			144	89	  	7.3034	34.83146	29.39325	14.22705	13.15961	11.23595	9.786516	8.988764	115	46.62918	13.48314	10.1	2.5	20.98705	30	  	84.38709	55	91	80	87.1	72.03011	78.5	  	8.98876	11.23595	4.49438	15	0.05617	0.7	6.8	-58.6439	174.1573	67.41573	67.41573	5.617977	0.25	0.08	  	  	  	  	25	  	4	0.22	1.05	  	16.27337	1.193650733	  	0.837766	0.94131	246.2466	119.1893	110.2467	75.3048	84.61436	20.94415	175.8223	0.184308	0.879654	3.351064						1
Rapskage, 00,         10% fedt, beskyttet 	FEEDRAPE_CAKE	RAPECAKE	145	89	  	7.3034	34.83146	29.39325	15.70738	11.41804	11.23595	9.786516	8.988764	115	46.62918	13.48314	10.1	2.5	20.98705	30	  	84.38709	50	91	82	87.1	72.03011	78.5	  	8.98876	11.23595	4.49438	15	0.05617	0.7	6.8	-58.6439	174.1573	67.41573	67.41573	5.617977	0.25	0.08	  	  	  	  	25	  	4	0.22	1.05	  	16.27337	1.193650733	  	0.837766	0.94131	246.2466	131.591	95.65645	75.3048	84.61436	20.94415	175.8223	0.184308	0.879654	3.351064	1.12	271	14.78	5.38	12.54	1
Rapskage, 00,         13% fedt 	FEEDRAPE_CAKE_PROTECTED	RAPECAKE_PROTECTED	146	89	  	7.0787	33.70786	28.34831	12.25633	14.55359	14.60674	13.02247	11.68539	115	44.60669	13.0337	10.1	2.5	19.15827	29	  	84.1	60	91	77.5	89.15384	71.19621	78.7	  	8.98876	11.23595	4.49438	15	0.05617	0.7	6.8	-58.6439	174.1573	67.41573	67.41573	5.617977	0.25	0.08	  	  	  	  	25	  	4	0.22	1.05	  	16.8077	1.248056153	  	0.801246	0.900276	227.1396	98.20335	116.61	93.62871	80.92584	20.03115	153.5048	0.176274	0.841308	3.204984						1
Rapskage, 00,         13% fedt, beskyttet 			147	89	  	7.0787	33.70786	28.34831	13.68892	12.8682	14.60674	13.02247	11.68539	115	44.60669	13.0337	10.1	2.5	19.15827	29	  	84.1	55	91	80	89.15384	71.19621	78.7	  	8.98876	11.23595	4.49438	15	0.05617	0.7	6.8	-58.6439	174.1573	67.41573	67.41573	5.617977	0.25	0.08	  	  	  	  	25	  	4	0.22	1.05	  	16.8077	1.248056153	  	0.801246	0.900276	227.1396	109.6819	103.1059	93.62871	80.92584	20.03115	153.5048	0.176274	0.841308	3.204984						1
Senneps-skrå 			148	87	  	7.5	46.3	40.059	13.53729	25.26796	1	-0.04	0.7	  	45.2	9.4	10	2.5	22.3098	  	  	86.52051	68	93	78.125	  	77.01283	80.896	  	9.9	11	5	15	0.1	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	4	0.22	1.05	  	15.71754	1.152848054	  	0.867417	0.997031	347.4785	117.4247	219.1785	6.071919	86.7417	21.68542	193.5189	0.190831	0.910787	3.469668						1
Soja-    kage 			151	88	  	7.1	49.5	43.035	18.24673	24.56107	3.7	2.552	2.96	135	39.7	7.4	12.3	6.2	18.594	14	  	86.93939	63	97	91.89189	68.973	93.43576	89	  	3.3	7.3	3.2	24	0.1	  	  	  	193	44	66	19	0.1	0.19	  	  	  	  	5	  	4	0.22	1.05	  	17.71829	1.357662648	  	0.73656	0.837	316.9785	134.3981	180.907	21.80217	90.59688	45.66672	136.9559	0.162043	0.773388	2.94624						1
Sojaskrå, afskallet 			154	87.5	  	6.9714	53.71428	46.95428	22.97686	23.15485	2.857142	1.742857	2	135	36.45717	4.8	12.1	4.914285	18.75854	10	  	87.41489	55	97	93.33333	61	98.12287	90.8	  	3.65714	7.08571	3.42857	22.85714	0.11428	0.20571	4	333.7558	428.5714	45.71428	57.14285	16	0.114285	0.114285	  	  	  	  	5	  	4	0.22	1.05	  	18.1636	1.410725748	  	0.708855	0.81012	332.8377	162.8726	164.1343	14.1771	85.77145	34.83515	132.9708	0.155948	0.744297	2.83542						1
