			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66	67	68	69	70	71
Fodermiddel	Productname	Plantname	Foderkode	Tørstof, procent	Procent af tørstof	Råaske	Råprotein	Fordøjeligt råprotein	AAT	PBV	Råfedt	Fordøjeligt råfedt	Fedtsyrer	Jodtal	Kulhydrat	Træstof	Sukker	Stivelse	Fordøjelige cellevægge	NDF	Fordøjelighedskoefficient	Råprotein	Protein nedbrg. (% af N)	Oprindeligt protein i tarm	Unedbrudt protein i tarm	Råfedt	Kulhydrat	Organisk stof	Mineraler, pr. kg tørstof	Calcium, g	Fosfor, g	Magnesium, g	Kalium, g	Natrium, g	Klor, g	Svovl, g	CAB, meq	Jern, mg	Mangan, mg	Zink, mg	Kobber, mg	Cobolt, mg	Selen, mg	Vitaminer, pr. kg tørstof	A-vitamin, 1000 i.e.	Beta-cartoen, mg	D-vitamin, 1000 i.e.	E-vitamin, mg	Struktur/fylde, pr. kg tørstof	Tyggetid, minutter	FFk, fylde køer	FFu, fylde ungdyr	Energi	Ford. energi, MJ pr. kg tørstof	FE pr. kg tørstof	Indhold pr. FE	Kg tørstof	Kg foder	Ford. råprotein, g	AAT, g	PBV, g	Fedtsyrer, g	Sukker, g	Stivelse, g	Ford. cellevægge, g	FFk, fylde køer	FFu, fylde ungdyr	Tyggetid, minutter	PigFE	Pig Ford råprotein	Lysin	Methionin	Treonin	Type
A-5       105-0-40 	test	test2	2	88	  	7.2	18.4	14.1	11.8	0.0	5.6	4.4	4.5	80.0	68.8	14.0	7.5	18.0	35.8	  	  	76.7	59.6	94.8	87.1	78.1	89.1	86.0	  	7.5	6.0	3.0	13.0	3.5	  	3.9	  	360.0	90.0	70.0	17.0	  	  	  	  	  	  	  	  	4	0.22	1.05	  	15.5	1.1	  	0.9	1.0	126.3	105.2	0.1	40.3	67.1	161.1	320.5	0.2	0.9	3.6						1
A-5        98-30-40 			3	89	  	7.8	20.5	16.1	10.8	3.3	5.6	4.4	4.5	80.0	66.1	15.0	8.0	18.0	31.9	  	  	78.4	66.8	94.5	83.4	78.1	87.6	85.0	  	8.0	6.5	4.0	13.0	3.4	  	3.9	  	360.0	90.0	70.0	17.0	  	  	  	  	  	  	  	  	4	0.22	1.05	  	15.4	1.1	  	0.9	1.0	145.7	98.0	30.4	40.8	72.5	163.2	289.5	0.2	1.0	3.6						1
A-6       100-45-55 			4	89	  	8.0	22.4	17.8	11.1	5.0	6.7	5.4	5.6	80.0	62.9	14.0	8.0	17.0	28.1	  	  	79.6	64.6	93.8	82.5	81.1	84.4	83.0	  	7.0	6.0	3.0	13.0	3.5	  	3.9	  	360.0	90.0	70.0	17.0	  	  	  	  	  	  	  	  	4	0.22	1.05	  	15.4	1.1	  	0.9	1.0	161.9	100.5	45.3	50.8	72.6	154.3	255.0	0.2	1.0	3.6						1
A-11       95-50-85 			5	89	  	7.5	24.3	19.6	11.9	6.3	12.4	10.9	10.6	80.0	55.8	13.0	7.0	14.0	27.1	  	  	80.7	61.2	94.7	86.3	87.9	86.2	85.0	  	7.5	6.5	3.5	13.0	4.0	  	3.9	  	360.0	90.0	70.0	17.0	  	  	  	  	  	  	  	  	4	0.22	1.05	  	16.8	1.2	  	0.8	0.9	157.2	95.2	50.4	85.0	56.1	112.3	217.5	0.2	0.8	3.2						1
A-8       100-65-65 			7	89	  	8.0	26.0	21.2	11.8	7.7	8.9	7.5	7.7	80.0	57.1	12.0	7.5	14.0	27.1	  	  	81.5	63.0	94.0	83.8	84.8	85.0	84.0	  	7.0	6.0	3.0	13.0	3.4	  	3.9	  	360.0	90.0	70.0	17.0	  	  	  	  	  	  	  	  	4	0.22	1.05	  	16.1	1.2	  	0.8	1.0	179.1	100.2	65.2	65.1	63.4	118.4	228.8	0.2	0.9	3.4						1
B-7         108-100-55 			11	89	  	8.5	31.0	25.8	12.7	11.5	7.9	6.6	6.4	80.0	52.6	11.0	8.0	13.0	22.5	  	  	83.3	62.2	93.2	82.0	83.3	82.8	83.0	  	8.5	8.5	3.5	13.0	3.5	  	4.8	  	490.0	75.0	85.0	17.0	  	  	  	  	  	  	  	  	4	0.22	1.05	  	16.0	1.2	  	0.8	1.0	219.1	107.7	97.6	54.3	67.9	110.3	191.1	0.2	0.9	3.4						1
C-13        100-120-90 			15	90	  	8.2	35.8	30.3	13.6	16.3	14.4	12.9	12.2	64.0	41.6	10.0	9.0	5.0	20.9	  	  	84.6	62.8	95.2	87.1	89.1	83.9	85.0	  	9.0	9.0	4.0	15.0	4.0	  	4.8	  	490.0	75.0	85.0	17.0	  	  	  	  	  	  	  	  	4	0.22	1.05	  	17.8	1.4	  	0.7	0.8	223.9	100.2	120.1	90.2	66.5	36.9	154.2	0.2	0.8	3.0						1
C-8         105-145-60 			19	90	  	8.6	36.5	30.9	12.8	17.6	8.9	7.5	7.3	70.0	46.0	11.5	8.5	6.0	22.0	  	  	84.8	66.0	94.7	84.4	84.8	79.3	82.0	  	8.5	8.5	4.0	16.0	4.0	  	4.8	  	490.0	75.0	85.0	17.0	  	  	  	  	  	  	  	  	4	0.22	1.05	  	16.4	1.2	  	0.8	0.9	255.5	105.5	145.1	60.3	70.2	49.5	181.3	0.2	0.9	3.3						1
C-11        100-135-80 			20	90	  	8.6	35.9	30.4	12.9	17.3	12.2	10.7	10.3	85.0	43.3	11.5	7.8	5.7	21.7	  	  	84.6	65.8	95.8	87.7	87.8	81.3	83.5	  	8.5	8.5	4.0	16.0	4.0	  	4.8	  	490.0	75.0	85.0	17.0	  	  	  	  	  	  	  	  	4	0.22	1.05	  	17.1	1.3	  	0.8	0.9	236.7	100.5	135.0	80.2	60.8	44.4	169.2	0.2	0.8	3.1						1
C-6         120-135-50 			31	90	  	9.0	36.5	30.9	14.1	15.8	6.7	5.4	5.9	84.0	47.8	12.0	8.0	3.0	27.2	  	  	84.8	62.0	94.2	84.7	81.1	80.0	82.0	  	8.5	8.5	4.0	16.0	4.0	  	4.8	  	490.0	75.0	85.0	17.0	  	  	  	  	  	  	  	  	4	0.22	1.05	  	16.0	1.2	  	0.9	1.0	264.8	120.2	135.2	50.4	68.5	25.7	233.1	0.2	0.9	3.4						1
Kalve-    blanding      15 			60	87	  	7.0	17.2	13.0	10.2	0.9	5.7	4.5	4.8	80.0	70.1	9.2	8.0	34.5	18.2	  	  	75.6	68.0	94.0	81.3	78.5	86.5	84.0	  	9.8	4.8	1.7	9.8	4.8	  	2.2	  	250.0	70.0	90.0	35.0	  	0.2	  	  	  	  	  	  	4	0.25	1.05	  	15.2	1.1	  	0.9	1.0	118.2	92.8	7.9	43.7	72.8	313.9	165.1	0.2	1.0	3.6						1
Kalve-    blanding      19 			61	87	  	8.0	21.8	17.3	11.7	3.6	5.2	4.0	4.0	80.0	65.0	6.9	8.0	35.6	14.3	  	  	79.2	64.0	94.0	83.3	76.8	89.0	86.0	  	11.5	6.0	2.5	10.0	2.3	  	2.4	  	250.0	70.0	90.0	35.0	  	0.2	  	  	  	  	  	  	4	0.22	1.05	  	15.6	1.1	  	0.9	1.0	150.8	102.2	31.6	34.9	69.8	310.7	124.4	0.2	0.9	3.5						1
Kalve-    blanding      32 			62	89	  	18.0	36.0	30.5	13.7	16.1	9.0	7.6	7.5	80.0	37.0	9.0	9.6	6.0	15.2	  	  	84.7	60.0	94.0	85.0	84.9	83.1	84.0	  	43.8	10.1	4.0	20.0	5.6	  	4.0	  	350.0	100.0	150.0	50.0	  	0.9	  	  	  	  	  	  	4	0.22	1.05	  	15.3	1.1	  	0.9	1.0	273.5	122.7	144.5	67.3	86.1	53.8	136.0	0.2	0.9	3.6						1
Bomulds-  frøkager,  afskallet 			101	92	  	7.3	51.5	44.9	21.7	20.9	3.5	2.4	2.8	110.0	37.7	10.4	5.4	1.5	20.0	  	  	87.2	50.0	93.0	86.0	67.4	71.4	80.0	  	2.2	11.9	6.4	18.0	0.2	  	  	  	291.0	24.0	71.0	16.0	0.4	0.3	  	  	  	  	  	  	4	0.22	1.05	  	16.3	1.2	  	0.8	0.9	370.7	179.0	173.0	23.1	44.6	12.4	165.2	0.2	0.9	3.3						1
Bomulds-  frøkager,  delvist    afskallet 			102	92	  	6.9	42.4	36.4	18.2	16.7	3.5	2.4	2.8	110.0	47.2	18.4	5.4	1.5	18.5	  	  	85.9	50.0	93.0	86.0	67.4	53.9	69.0	  	2.2	11.9	6.4	18.0	0.2	  	  	  	291.0	24.0	71.0	16.0	0.4	0.3	  	  	  	  	  	  	4	0.22	1.05	  	14.0	1.0	  	1.0	1.1	381.3	190.5	174.3	29.3	56.5	15.7	194.1	0.2	1.1	4.2						1
Bomulds-  frøkager,  uafskallet 			103	92	  	5.3	27.9	22.9	13.0	9.2	6.6	5.3	5.3	110.0	60.2	28.7	5.4	1.5	19.7	47.0	  	82.2	50.0	93.0	86.0	80.8	44.3	58.0	  	2.2	11.9	6.4	18.0	0.2	  	  	  	291.0	24.0	71.0	16.0	0.4	0.3	  	  	  	  	  	  	4	0.22	1.05	  	12.0	0.7	  	1.4	1.5	319.9	181.6	128.1	73.6	75.3	20.9	275.2	0.3	1.5	5.6						1
Bomulds-  frøskrå,   delvist    afskallet 			105	89	  	6.6	45.1	38.9	19.1	18.1	1.8	0.7	1.3	110.0	46.5	17.3	5.4	1.5	17.9	  	  	86.3	50.0	93.0	86.0	40.4	53.3	69.0	  	2.1	12.6	6.9	19.0	0.2	  	  	  	248.0	23.0	77.0	14.0	0.4	0.3	  	  	  	  	  	  	4	0.22	1.05	  	14.0	1.0	  	1.0	1.2	408.7	200.6	190.2	13.2	56.7	15.7	187.6	0.2	1.1	4.2						1
Hørfrø-kage 			111	90	  	8.9	35.3	29.8	13.9	14.4	8.1	6.8	6.5	190.0	47.7	11.1	5.4	2.6	30.1	24.0	  	84.5	60.0	93.0	82.5	83.7	79.9	82.0	  	3.7	8.6	5.2	11.0	0.8	  	  	  	240.0	46.0	88.0	22.0	0.4	0.1	  	  	  	  	  	  	4	0.22	1.05	  	16.1	1.2	  	0.8	0.9	251.1	117.4	121.0	54.5	45.5	21.9	253.4	0.2	0.9	3.4						1
Hørfrø-skrå 			114	88	  	6.8	39.5	33.7	15.4	16.4	1.8	0.7	1.3	190.0	51.9	9.8	5.4	2.6	33.0	  	  	85.4	60.0	93.0	82.5	40.4	79.1	81.0	  	3.9	8.8	5.2	11.0	0.8	  	  	  	250.0	53.0	89.0	22.0	0.4	0.1	  	  	  	  	  	  	4	0.22	1.05	  	15.5	1.1	  	0.9	1.0	298.0	136.4	144.6	11.1	47.7	23.0	291.7	0.2	0.9	3.5						1
Jordnød-  skrå,       delvist    afskallet 			125	89	  	6.3	51.0	44.4	11.4	32.5	1.2	0.2	0.8	90.0	41.5	10.4	8.5	5.0	15.9	18.0	  	87.1	74.0	93.0	73.1	12.7	71.0	79.0	  	1.5	7.5	3.5	13.0	0.9	  	  	  	360.0	45.0	44.0	19.0	0.3	0.3	  	  	  	  	  	  	4	0.22	1.05	  	15.9	1.2	  	0.9	1.0	380.1	97.2	277.9	7.2	72.7	42.8	136.4	0.2	0.9	3.4						1
Kokos-kage 			131	89	  	6.9	23.6	18.9	14.1	2.2	8.4	7.1	6.7	10.0	61.1	11.7	15.0	5.0	31.3	53.5	  	80.3	48.0	91.0	82.7	84.1	83.9	83.0	  	1.4	6.3	3.3	23.0	1.0	  	  	  	365.0	88.0	55.0	30.0	0.3	0.2	  	  	  	  	  	  	4	0.22	1.05	  	15.9	1.2	  	0.9	1.0	163.3	121.3	18.7	57.9	129.3	43.1	269.5	0.2	0.9	3.4						1
Kokos-skrå 			134	89	  	7.3	23.7	19.0	14.5	1.5	2.0	0.9	1.4	10.0	67.0	15.3	15.0	5.0	35.1	50.4	  	80.3	48.0	91.0	82.7	46.0	82.3	81.0	  	1.1	6.5	3.5	23.0	0.8	  	  	  	350.0	116.0	53.0	30.0	0.3	0.2	  	  	  	  	  	  	4	0.22	1.05	  	14.5	1.0	  	1.0	1.1	188.8	144.0	15.2	13.9	148.7	49.6	348.3	0.2	1.0	4.0						1
Kokos-  kage,  fedtrig 			139	93	  	6.9	21.9	17.4	13.2	1.8	13.7	12.2	11.0	10.0	57.5	12.9	15.0	5.0	28.7	49.6	  	79.3	48.0	91.0	82.7	88.7	84.7	84.0	  	0.9	6.0	3.4	23.0	0.8	  	  	  	356.0	109.0	57.0	25.0	0.3	0.1	  	  	  	  	  	  	4	0.22	1.05	  	16.8	1.2	  	0.8	0.9	139.4	105.8	14.6	88.0	120.4	40.1	230.3	0.2	0.8	3.2						1
Palme- kage 			136	92	  	4.2	16.2	12.1	10.7	-1.3	10.9	9.5	8.7	20.0	68.7	21.8	3.0	0.0	37.7	62.0	  	74.5	37.0	83.0	73.0	86.8	59.3	65.0	  	2.1	6.5	3.1	8.0	0.1	  	  	  	935.0	255.0	46.0	24.0	0.2	0.2	  	  	  	  	  	  	4	0.22	1.05	  	13.2	0.9	  	1.2	1.3	140.1	123.8	-14.9	101.3	34.8	0.0	438.4	0.3	1.2	4.6						1
Rapsskrå, 00,          4% fedt 			142	87.5	  	7.8	38.9	33.1	12.4	18.9	4.6	3.4	3.2	115.0	48.8	14.9	9.7	6.4	19.3	33.1	  	85.3	65.0	91.0	74.3	74.1	72.6	78.0	  	8.9	12.0	4.8	14.2	0.1	0.7	6.8	-79.1	434.3	74.3	77.7	6.3	0.3	0.1	  	  	  	  	5	  	4	0.22	1.05	  	15.3	1.1	  	0.9	1.0	302.9	112.9	173.1	29.3	88.7	58.5	176.5	0.2	1.0	3.7						1
Rapskage, 00,         10% fedt 			144	89	  	7.3	34.8	29.4	14.2	13.2	11.2	9.8	9.0	115.0	46.6	13.5	10.1	2.5	21.0	30.0	  	84.4	55.0	91.0	80.0	87.1	72.0	78.5	  	9.0	11.2	4.5	15.0	0.1	0.7	6.8	-58.6	174.2	67.4	67.4	5.6	0.3	0.1	  	  	  	  	25	  	4	0.22	1.05	  	16.3	1.2	  	0.8	0.9	246.2	119.2	110.2	75.3	84.6	20.9	175.8	0.2	0.9	3.4						1
Rapskage, 00,         10% fedt, beskyttet 	FEEDRAPE_CAKE	RAPECAKE	145	89	  	7.3	34.8	29.4	15.7	11.4	11.2	9.8	9.0	115.0	46.6	13.5	10.1	2.5	21.0	30.0	  	84.4	50.0	91.0	82.0	87.1	72.0	78.5	  	9.0	11.2	4.5	15.0	0.1	0.7	6.8	-58.6	174.2	67.4	67.4	5.6	0.3	0.1	  	  	  	  	25	  	4	0.22	1.05	  	16.3	1.2	  	0.8	0.9	246.2	131.6	95.7	75.3	84.6	20.9	175.8	0.2	0.9	3.4	1.12	271	14.78	5.38	12.54	1
Rapskage, 00,         13% fedt 	FEEDRAPE_CAKE_PROTECTED	RAPECAKE_PROTECTED	146	89	  	7.1	33.7	28.3	12.3	14.6	14.6	13.0	11.7	115.0	44.6	13.0	10.1	2.5	19.2	29.0	  	84.1	60.0	91.0	77.5	89.2	71.2	78.7	  	9.0	11.2	4.5	15.0	0.1	0.7	6.8	-58.6	174.2	67.4	67.4	5.6	0.3	0.1	  	  	  	  	25	  	4	0.22	1.05	  	16.8	1.2	  	0.8	0.9	227.1	98.2	116.6	93.6	80.9	20.0	153.5	0.2	0.8	3.2						1
Rapskage, 00,         13% fedt, beskyttet 			147	89	  	7.1	33.7	28.3	13.7	12.9	14.6	13.0	11.7	115.0	44.6	13.0	10.1	2.5	19.2	29.0	  	84.1	55.0	91.0	80.0	89.2	71.2	78.7	  	9.0	11.2	4.5	15.0	0.1	0.7	6.8	-58.6	174.2	67.4	67.4	5.6	0.3	0.1	  	  	  	  	25	  	4	0.22	1.05	  	16.8	1.2	  	0.8	0.9	227.1	109.7	103.1	93.6	80.9	20.0	153.5	0.2	0.8	3.2						1
Senneps-skrå 			148	87	  	7.5	46.3	40.1	13.5	25.3	1.0	0.0	0.7	  	45.2	9.4	10.0	2.5	22.3	  	  	86.5	68.0	93.0	78.1	  	77.0	80.9	  	9.9	11.0	5.0	15.0	0.1	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	4	0.22	1.05	  	15.7	1.2	  	0.9	1.0	347.5	117.4	219.2	6.1	86.7	21.7	193.5	0.2	0.9	3.5						1
Soja-    kage 			151	88	  	7.1	49.5	43.0	18.2	24.6	3.7	2.6	3.0	135.0	39.7	7.4	12.3	6.2	18.6	14.0	  	86.9	63.0	97.0	91.9	69.0	93.4	89.0	  	3.3	7.3	3.2	24.0	0.1	  	  	  	193.0	44.0	66.0	19.0	0.1	0.2	  	  	  	  	5	  	4	0.22	1.05	  	17.7	1.4	  	0.7	0.8	317.0	134.4	180.9	21.8	90.6	45.7	137.0	0.2	0.8	2.9						1
Sojaskrå, afskallet 			154	87.5	  	7.0	53.7	47.0	23.0	23.2	2.9	1.7	2.0	135.0	36.5	4.8	12.1	4.9	18.8	10.0	  	87.4	55.0	97.0	93.3	61.0	98.1	90.8	  	3.7	7.1	3.4	22.9	0.1	0.2	4.0	333.8	428.6	45.7	57.1	16.0	0.1	0.1	  	  	  	  	5	  	4	0.22	1.05	  	18.2	1.4	  	0.7	0.8	332.8	162.9	164.1	14.2	85.8	34.8	133.0	0.2	0.7	2.8						1
Sojaskrå 			155	87.5	  	7.4	49.1	42.7	21.7	20.0	3.2	2.1	2.2	135.0	40.2	7.2	12.1	6.2	21.0	14.0	  	86.9	55.0	97.0	93.3	64.8	97.6	90.8	  	3.7	7.1	3.4	22.9	0.1	0.2	4.0	333.8	428.6	45.7	57.1	16.0	0.1	0.1	  	  	  	  	5	  	4	0.22	1.05	  	17.9	1.4	  	0.7	0.8	311.3	158.3	145.9	16.3	88.2	45.2	153.0	0.2	0.8	2.9	1.13	372	22.78	5.01	14.44	1
Solsikke- kage, afskallet 			161	95	  	6.3	37.9	32.2	13.4	19.1	13.2	11.6	10.5	140.0	42.6	16.3	6.9	4.2	18.0	28.0	  	85.1	64.0	96.0	88.9	88.4	68.3	77.9	  	3.7	11.1	6.0	17.2	0.2	1.3	4.6	123.7	240.0	55.0	140.0	50.0	0.4	0.1	  	  	  	  	10	  	4	0.22	1.05	  	16.8	1.2	  	0.8	0.9	260.5	108.3	154.0	85.0	55.7	33.9	145.5	0.2	0.8	3.2						1
Solsikke- kage, delvist afskallet 			162	92	  	6.5	32.6	27.3	11.7	16.2	12.5	11.0	10.0	140.0	48.4	22.8	6.9	4.2	15.1	38.0	  	83.8	64.0	96.0	88.9	88.0	54.1	69.0	  	4.3	13.0	6.5	17.4	0.2	1.3	4.8	118.6	240.0	55.0	140.0	50.0	0.4	0.1	  	  	  	  	10	  	4	0.22	1.05	  	14.9	1.0	  	1.0	1.1	266.4	113.6	157.9	97.5	67.3	40.9	146.9	0.2	1.0	3.9						1
Solsikke- skrå, afskallet 			164	90	  	7.2	41.7	35.8	11.3	25.0	3.0	1.9	2.1	140.0	48.1	18.3	6.9	4.2	21.8	28.0	  	85.8	74.0	96.0	84.6	62.7	68.3	76.0	  	4.5	13.5	6.7	18.0	0.2	1.3	4.9	122.6	240.0	55.0	140.0	50.0	0.4	0.2	  	  	  	  	10	  	4	0.22	1.05	  	15.0	1.1	  	1.0	1.1	340.4	107.4	237.7	20.0	65.7	40.0	207.4	0.2	1.0	3.8						1
