FOM.C	FOM.ISO	HUM.C	HUM.ISO	ROM.C	ROM.ISO
2.15429	2.23777	7.48432	7.32255	5.38822	4.20767	
0.264532	0.268362	7.41943	7.2417	5.39162	4.21031	
0.231327	0.233673	7.41657	7.2385	5.39161	4.2103	
0.225451	0.227464	7.41593	7.2378	5.3916	4.21029	
0.220786	0.22252	7.41544	7.23725	5.39159	4.21028	
0.0586728	0.0601516	5.86154	5.73805	5.73551	4.35902	
0.0453684	0.0466951	4.63238	4.54342	5.64163	4.14626	
0.0392384	0.040389	3.68289	3.61382	5.30129	3.76157	
0.0340767	0.0350721	2.94611	2.8899	4.83728	3.31389	
0.0295988	0.03046	2.37118	2.32437	4.32642	2.86378	
0.0257103	0.0264555	1.91996	1.88059	3.8151	2.44288	
0.0223333	0.0229782	1.56375	1.5305	3.32991	2.06568	
0.0194005	0.0199587	1.28087	1.25268	2.88469	1.73669	
0.0168534	0.0173367	1.05489	1.03087	2.48524	1.45492	
0.0146412	0.0150596	0.873272	0.852707	2.1325	1.21654	
0.0127198	0.0130822	0.726454	0.708759	1.82456	1.01652	
0.0110509	0.0113648	0.607078	0.591802	1.55796	0.849582	
0.00960131	0.00987324	0.509468	0.496261	1.32858	0.710706	
0.00834216	0.00857777	0.429221	0.417804	1.13212	0.595367	
0.00724838	0.00745255	0.362905	0.353045	0.964408	0.499622	
