NUMMER_TAL	CentX	CentY
1050	725532	6176545
1051	725821	6176483
1052	725825	6176374
1053	725847	6176274
1054	725737	6176284
1055	725641	6176294
1056	725675	6176424
1057	725733	6176297
1058	725766	6176171
1059	725599	6176085
1060	725485	6176311
1061	725267	6176170
1062	725300	6176179
1063	725432	6176255
1064	725435	6176291
1065	725246	6176241
1066	725325	6176196
1067	725247	6176303
1068	725348	6176258
1069	725405	6176244
1070	725402	6176319
1071	725366	6176257
1072	725196	6176289
1073	725221	6176348
1074	725386	6176411
1100	725307	6176426
1101	725320	6176601
1102	725332	6176518
1103	725412	6176562
1104	725414	6176612
1105	725277	6176544
1106	725248	6176518
1107	725343	6176617
1109	725359	6176480
1110	725287	6176653
1111	725209	6176699
1112	725120	6176569
1113	725164	6176473
1114	725117	6176541
1115	725060	6176574
1116	725136	6176692
1117	725174	6176663
1118	725206	6176588
1119	725018	6176798
1120	725062	6176732
1121	725072	6176774
1122	725119	6176749
1123	724935	6176871
1124	724889	6176822
1125	724904	6176756
1126	724856	6176711
1127	724883	6176794
1128	724848	6176791
1129	724787	6176796
1130	724786	6176847
1131	724747	6176895
1150	724982	6176545
1151	724983	6176417
1152	724962	6176485
1153	724980	6176418
1154	724911	6176419
1155	724882	6176444
1156	724881	6176389
1157	724876	6176350
1158	724771	6176290
1159	724825	6176409
1160	725037	6176324
1161	724858	6176295
1162	724801	6176320
1163	724900	6176459
1164	724758	6176247
1165	724617	6176489
1166	724713	6176357
1167	724648	6176323
1168	724696	6176413
1169	724820	6176504
1170	724834	6176465
1171	724694	6176562
1172	724819	6176611
1173	724775	6176633
1174	724701	6176699
1175	724773	6176731
1200	725148	6176284
1201	725053	6176252
1202	725094	6176198
1203	724962	6176063
1204	724891	6176065
1205	724968	6176132
1206	724997	6176182
1207	724950	6176253
1208	724870	6176118
1209	724875	6176232
1210	724873	6176167
1211	724829	6176183
1212	725051	6176089
1213	725027	6176015
1214	725187	6175919
1215	725387	6176052
1216	725419	6175961
1217	725475	6175966
1218	725228	6175982
1218	725202	6175685
1218	725145	6175994
1218	725251	6176092
1218	725151	6176099
1218	725012	6175899
1219	725326	6175712
1220	725015	6175813
1221	725542	6175996
1250	725902	6176672
1251	726051	6176512
1252	726137	6176697
1253	726046	6176881
1254	725786	6176627
1255	725718	6176619
1256	726025	6177066
1257	725977	6176943
1258	726204	6177056
1259	727192	6179194
1259	726281	6177481
1259	726301	6177459
1259	726301	6177497
1260	725744	6176867
1261	725604	6176701
1262	725651	6176776
1263	726202	6177482
1263	726067	6177388
1264	725649	6177126
1265	725787	6177024
