PUNKTNO	amp	start	mean
1	8.35158146	248.12271	7.043150685
3	8.438259201	248.500311	6.931041096
4	8.383203634	248.2705406	7.004739726
6	8.390096502	248.2789409	6.999150685
7	8.35158146	248.12271	7.043150685
8	8.35158146	248.12271	7.043150685
9	8.360123593	248.1687889	7.034684932
10	8.35158146	248.12271	7.043150685
12	8.437521575	248.8490138	7.120849315
13	8.467943903	248.9512219	7.039013699
16	8.509776655	249.4598478	7.18690411
17	8.499254315	249.3344082	7.182136986
20	7.973817636	247.1393078	6.982520548
21	8.14694078	246.5293625	7.512767123
22	8.141479493	246.4501899	7.511589041
23	8.442029844	248.8405316	7.140849315
24	8.443763966	248.8813314	7.142849315
25	8.479402565	248.8257293	7.245178082
26	8.473933734	248.7874783	7.239808219
27	8.425182295	248.5407607	7.181671233
28	8.487376439	248.9460418	7.248931507
29	8.502545907	249.0308083	7.274465753
30	8.502215467	248.9728149	7.277205479
31	8.48015168	248.8425982	7.246849315
32	8.499868082	249.0372442	7.278520548
33	7.978883234	247.4844982	6.968191781
34	7.980491526	247.4817364	6.969315068
35	8.502629373	248.9806611	7.278958904
36	7.978883234	247.4844982	6.968191781
37	7.978883234	247.4844982	6.968191781
38	7.978883234	247.4844982	6.968191781
39	7.975434892	247.4824883	6.958547945
40	7.98256088	247.4857962	6.973315068
41	7.978883234	247.4844982	6.968191781
42	7.978618732	247.4796884	6.964849315
43	7.978788366	247.4778671	6.964767123
44	7.978056341	247.4788731	6.962383562
45	7.978491818	247.4750417	6.964520548
47	8.587898399	248.2025673	7.283041096
48	8.440937398	248.5224591	6.948986301
49	8.438259201	248.500311	6.931041096
50	8.438259201	248.500311	6.931041096
51	8.438259201	248.500311	6.931041096
52	8.509049737	248.9537065	7.282849315
53	8.440812153	248.5242931	6.957205479
54	8.506828386	248.9786653	7.276136986
55	8.50729555	248.9751263	7.277890411
56	8.506981384	248.9778114	7.276191781
57	8.487495051	248.929675	7.246657534
58	8.336702609	248.5566797	7.291534247
59	8.502530436	249.0488476	7.308520548
61	8.492883921	248.9562039	7.252821918
62	8.503386874	249.033828	7.273589041
63	8.505559128	249.0301453	7.271232877
64	8.494816846	248.9993176	7.261561644
65	8.436798801	248.4977002	6.937726027
66	8.440873398	248.5211173	6.950082192
67	8.442382456	248.5171961	6.945890411
68	8.463381303	248.6769295	7.077780822
69	8.485868426	248.8990089	7.239589041
72	8.486758047	248.9191554	7.24339726
73	8.487324351	248.9237446	7.244410959
74	8.49007967	249.2462294	7.180054795
75	8.48793486	249.2411939	7.179205479
76	8.49007967	249.2462294	7.180054795
80	8.406205393	247.2189359	7.764356164
81	8.184202749	247.1518448	7.551863014
83	8.415732645	247.6834504	7.780931507
84	8.219551902	247.5550281	7.592136986
85	8.213770417	247.3747677	7.576712329
86	8.185816701	247.1616309	7.551561644
87	8.214606129	247.4407599	7.585205479
88	8.211623296	247.338215	7.575917808
89	8.184202749	247.1518448	7.551863014
90	8.155708513	246.614373	7.515643836
92	8.180561335	247.0954809	7.547287671
93	8.153648369	246.6076565	7.514438356
94	8.379813903	247.6716533	7.755452055
95	8.21295331	247.4372024	7.583561644
96	8.390993297	247.6614862	7.762082192
97	8.392876006	247.6604935	7.763643836
98	8.179855823	248.1669946	7.425643836
99	8.212935112	247.3930406	7.579561644
100	8.177700202	247.2345358	7.698684932
101	8.123444168	246.3308128	7.884767123
103	8.214066663	247.4104091	7.579945205
104	8.120630727	246.405046	7.868191781
105	8.124576378	246.5208099	7.837534247
106	8.122149803	246.3668285	7.88109589
108	7.928073489	244.0468288	7.825150685
109	8.157311726	246.6420177	7.516684932
110	8.150877037	246.6724182	7.662712329
111	8.139568897	246.6340568	7.728931507
112	8.120630727	246.405046	7.868191781
113	8.120613938	246.3650011	7.877315068
114	8.400886991	249.4063755	7.155835616
115	8.398219154	249.3975325	7.149342466
116	8.437626943	249.7310067	7.208712329
117	8.40004277	249.3968218	7.153342466
118	8.423956562	249.4073995	7.161808219
119	8.376783195	249.7809993	7.167808219
120	8.453863535	250.1027624	7.276630137
121	8.46428411	250.077413	7.284575342
122	8.554488147	249.2614846	7.455424658
123	7.979973141	247.4838922	6.969013699
124	8.420818142	249.401484	7.162164384
125	8.375888957	249.7389092	7.166136986
126	8.386243499	249.9758643	7.19509589
127	8.381921533	249.9048746	7.188191781
128	8.453174514	249.4071367	7.189287671
129	8.518770647	249.4754105	7.245589041
131	8.378055876	249.8860376	7.188164384
132	8.384360171	249.9464036	7.195479452
