Hour	oModel	IntCelsius	OutCelsius	Rad	Windspeed
19	10.78	9.89	6.5	1.56	0.66
20	7.74	8.96	3.7	4.93	0.8
21	5.35	7.32	1.3	5.36	0.76
22	5.16	6.6	0.5	5	0.44
23	5.2	5.86	1.3	4.61	0.88
24	4.47	5.18	-0.2	3.34	0.46
1	3.06	4.09	-1.1	3.79	0.92
2	2.25	3.09	-2.6	2.95	0.42
3	1.84	2.86	-2.9	4.13	0.4
4	0.94	2.22	-3.9	2.89	0.4
5	1.71	2.27	-2.6	2.97	0.6
6	2.62	2.82	-2.1	2.96	0.4
7	2.59	2.91	-2.1	107.26	0.5
8	6.94	4.97	1.5	237.62	1.1
9	7.71	7.02	4.2	427.15	2.1
10	9.09	9.22	5.8	578.19	2.5
11	10.44	10.56	7.1	665.54	2.4
12	11.41	11.87	8.3	685.74	4.3
13	12.75	12.94	9.1	639.32	2.2
14	12.2	12.33	9.4	525.11	2.7
					
					
					
					
